Date,Open,High,Low,Close,Volume,twitter_sentiment,news_sentiment
2016-09-26,41.299999,42.200001,39.91,40.806,65846500,0.11279907407407404,0.4199333333333333
2016-10-03,42.459999,43.133999,39.16,39.321999,98076500,0.22213749999999996,0.0058
2016-10-10,40.27,40.827999,39.259998,39.301998,71899500,-0.22931875000000002,0.10170000000000001
2016-10-17,39.41,41.332001,38.400002,40.018002,126210500,0.030233333333333338,-0.050575
2016-10-24,40.200001,42.740002,39.966,39.993999,141016000,0.4039,0.07906666666666665
2016-10-31,40.498001,40.498001,37.192001,38.112,119023500,0.325996,0.6369
2016-11-07,38.717999,39.498001,36.084,37.712002,130248000,0.8266,0.1736
2016-11-14,37.599998,38.599998,35.638,37.004002,119930000,0.399245,0.11742
2016-11-21,37.007999,39.448002,36.742001,39.330002,86112000,0.19815499999999994,-0.310075
2016-11-28,39.096001,39.869999,36.0,36.293999,108421500,0.0,0.0
2016-12-05,36.501999,38.768002,36.501999,38.436001,94211500,0.3410333333333333,-0.06804999999999999
2016-12-12,38.560001,40.599998,38.236,40.498001,102151000,0.3095259259259259,-0.09123125000000001
2016-12-19,40.498001,42.689999,39.967999,42.667999,105832000,0.3095259259259259,-0.08531666666666665
2016-12-26,42.976002,44.759998,42.335999,42.737999,91929000,0.0,-0.39355
2017-01-02,42.972,46.062,42.192001,45.801998,142882000,-0.17,0.31
2017-01-09,45.793999,47.57,45.116001,47.549999,105867500,0.13572083333333332,0.6249
2017-01-16,47.34,49.736,46.874001,48.945999,101615500,0.11905,0.10935000000000003
2017-01-23,49.169998,51.692001,49.099998,50.59,113447000,0.5121315476190476,0.11361111111111111
2017-01-30,50.506001,51.178001,49.419998,50.265999,82812500,0.14285000000000003,0.26500833333333335
2017-02-06,50.200001,54.236,50.125999,53.846001,115901000,0.06453611111111107,-0.05093333333333334
2017-02-13,54.147999,57.478001,52.830002,54.445999,163285500,0.30229444444444437,0.2023
2017-02-20,55.09,56.689999,50.040001,51.400002,187592500,0.53571,-0.11213333333333335
2017-02-27,49.633999,50.970001,48.402,50.313999,143098000,0.32653333333333334,-0.1907
2017-03-06,49.582001,50.778,48.599998,48.737999,87429000,0.20117499999999994,0.20196666666666666
2017-03-13,48.964001,53.150002,48.556,52.299999,147907500,0.38152222222222215,0.20673333333333335
2017-03-20,52.119999,52.959999,50.048,52.632,117748500,0.1392213151927438,0.30945
2017-03-27,52.119999,56.400002,51.950001,55.66,126688000,0.20688625000000002,0.3944666666666667
2017-04-03,57.380001,60.976002,56.916,60.507999,210021500,0.07206666666666663,0.017082857142857132
2017-04-10,61.830002,62.745998,59.060001,60.799999,143622000,0.2200624999999999,0.18752666666666667
2017-04-17,60.540001,61.830002,59.580002,61.119999,108658000,0.246,-0.8934
2017-04-24,61.844002,62.959999,61.172001,62.813999,122451500,-0.004863888888888872,0.074
2017-05-01,62.976002,65.531998,58.152,61.669998,218375500,0.2754090909090909,-0.054055555555555544
2017-05-08,62.18,65.400002,61.164001,64.961998,156500000,0.08628124999999999,-0.34
2017-05-15,63.675999,64.040001,61.062,62.166,144139000,0.09573555555555562,0.27168333333333333
2017-05-22,62.560001,65.098,60.695999,65.028,132485500,0.2847966666666667,0.046676666666666665
2017-05-29,65.199997,68.975998,65.152,67.970001,154722500,0.36428777777777777,0.1634725
2017-06-05,67.699997,75.374001,66.842003,71.463997,267960500,0.1030250718954248,0.17604000000000003
2017-06-12,71.598,76.849998,70.124001,74.279999,261507500,0.4064599999999999,-0.06970000000000001
2017-06-19,75.0,77.398003,73.559998,76.690002,164434000,-0.012411714285714281,-0.1909
2017-06-26,77.337997,77.389999,70.82,72.321999,169862500,0.026500297619047625,-0.011199999999999988
